year,proj_scenario,sex,age,VALUE
2018,LG,M,100,1.8
2018,LG,F,0,187.7
2018,LG,F,1,187.9
2018,LG,F,2,190.5
2018,LG,F,3,191.9
2018,LG,F,4,193.9
2018,LG,F,5,195.3
2018,LG,F,6,197.3
2018,LG,F,7,197.4
2018,LG,F,8,201.6
2018,LG,F,9,202.5
2018,LG,F,10,203
2018,LG,F,11,198
2018,LG,F,12,193.2
2018,LG,F,13,190.5
2018,LG,F,14,192.8
2018,LG,F,15,192
2018,LG,F,16,195.3
2018,LG,F,17,200.9
2018,LG,F,18,213.4
2018,LG,F,19,222.6
2018,LG,F,20,226.6
2018,LG,F,21,227.2
2018,LG,F,22,234.7
2018,LG,F,23,238.3
2018,LG,F,24,239.3
2018,LG,F,25,243
2018,LG,F,26,248
2018,LG,F,27,252.5
2018,LG,F,28,255.4
2018,LG,F,29,249.8
2018,LG,F,30,247.2
2018,LG,F,31,249.5
2018,LG,F,32,254.2
2018,LG,F,33,255.4
2018,LG,F,34,255.9
2018,LG,F,35,255.7
2018,LG,F,36,255.1
2018,LG,F,37,254.4
2018,LG,F,38,251.9
2018,LG,F,39,247
2018,LG,F,40,242.2
2018,LG,F,41,242
2018,LG,F,42,241.3
2018,LG,F,43,240.4
2018,LG,F,44,236.3
2018,LG,F,45,235
2018,LG,F,46,238.2
2018,LG,F,47,246.7
2018,LG,F,48,246.3
2018,LG,F,49,243.9
2018,LG,F,50,241.8
2018,LG,F,51,243.8
2018,LG,F,52,255.6
2018,LG,F,53,272
2018,LG,F,54,279.4
2018,LG,F,55,281
2018,LG,F,56,274.8
2018,LG,F,57,276.5
2018,LG,F,58,272.5
2018,LG,F,59,266.5
2018,LG,F,60,262.3
2018,LG,F,61,256.5
2018,LG,F,62,248.8
2018,LG,F,63,245.2
2018,LG,F,64,235.8
2018,LG,F,65,224.2
2018,LG,F,66,214.5
2018,LG,F,67,208.4
2018,LG,F,68,202.7
2018,LG,F,69,197.6
2018,LG,F,70,195.6
2018,LG,F,71,192.6
2018,LG,F,72,163.5
2018,LG,F,73,150
2018,LG,F,74,144.1
2018,LG,F,75,136.5
2018,LG,F,76,125.7
2018,LG,F,77,118.7
2018,LG,F,78,109.6
2018,LG,F,79,103.5
2018,LG,F,80,97
2018,LG,F,81,90
2018,LG,F,82,86.5
2018,LG,F,83,80.6
2018,LG,F,84,74.8
2018,LG,F,85,71.5
2018,LG,F,86,66.9
2018,LG,F,87,62.1
2018,LG,F,88,55.4
2018,LG,F,89,48.4
2018,LG,F,90,43.3
2018,LG,F,91,37
2018,LG,F,92,31.8
2018,LG,F,93,26.7
2018,LG,F,94,22.1
2018,LG,F,95,17.5
2018,LG,F,96,13.5
2018,LG,F,97,9.9
2018,LG,F,98,7.2
2018,LG,F,99,4.6
2018,LG,F,100,8.2
2018,M1,B,0,385.1
2018,M1,B,1,385.7
2018,M1,B,2,390.3
2018,M1,B,3,393.4
2018,M1,B,4,396.5
2018,M1,B,5,400.5
2018,M1,B,6,403
2018,M1,B,7,403.2
2018,M1,B,8,411
2018,M1,B,9,413.1
2018,M1,B,10,413
2018,M1,B,11,403.1
2018,M1,B,12,393.3
2018,M1,B,13,388.6
2018,M1,B,14,392.8
2018,M1,B,15,392.1
2018,M1,B,16,399.3
2018,M1,B,17,412.1
2018,M1,B,18,440.1
2018,M1,B,19,463.4
2018,M1,B,20,472.2
2018,M1,B,21,475.8
2018,M1,B,22,489.3
2018,M1,B,23,499.7
2018,M1,B,24,500.5
2018,M1,B,25,505.6
2018,M1,B,26,512.5
2018,M1,B,27,520.7
2018,M1,B,28,524
2018,M1,B,29,510.6
2018,M1,B,30,501.3
2018,M1,B,31,504.9
2018,M1,B,32,514.8
2018,M1,B,33,515.3
2018,M1,B,34,514.3
2018,M1,B,35,511.3
2018,M1,B,36,508.2
2018,M1,B,37,506.4
2018,M1,B,38,500.3
2018,M1,B,39,488.2
2018,M1,B,40,479.7
2018,M1,B,41,478.2
2018,M1,B,42,477.5
2018,M1,B,43,476.4
2018,M1,B,44,467.1
2018,M1,B,45,466.5
2018,M1,B,46,473.6
2018,M1,B,47,490.8
2018,M1,B,48,490.3
2018,M1,B,49,484.4
2018,M1,B,50,480.7
2018,M1,B,51,485.3
2018,M1,B,52,510.8
2018,M1,B,53,543.1
2018,M1,B,54,558.3
2018,M1,B,55,561
2018,M1,B,56,547.5
2018,M1,B,57,549.6
2018,M1,B,58,540.7
2018,M1,B,59,527.4
2018,M1,B,60,519.8
2018,M1,B,61,505.9
2018,M1,B,62,489.9
2018,M1,B,63,480.7
2018,M1,B,64,459.9
2018,M1,B,65,436.9
2018,M1,B,66,417.7
2018,M1,B,67,405.7
2018,M1,B,68,393.3
2018,M1,B,69,382.1
2018,M1,B,70,377.3
2018,M1,B,71,370.8
2018,M1,B,72,314
2018,M1,B,73,287.8
2018,M1,B,74,275.3
2018,M1,B,75,259.5
2018,M1,B,76,236.7
2018,M1,B,77,221
2018,M1,B,78,202.7
2018,M1,B,79,190.1
2018,M1,B,80,176.7
2018,M1,B,81,162.5
2018,M1,B,82,154.5
2018,M1,B,83,141.9
2018,M1,B,84,130.3
2018,M1,B,85,122.8
2018,M1,B,86,112.8
2018,M1,B,87,102.5
2018,M1,B,88,89.6
2018,M1,B,89,76.5
